area,tag,bv_id,time,title,duration,view,danmaku,reply,favorite,coin,share,like,author_uid,author_name,author_follower,width,height,landscape
家居房产,"生活改造计划·第二期,居家生活小妙招,健身,空气炸锅,减脂,厨房好物,测评",BV1rF41147KS,2022-03-11 18:01:30,买完两条路：要么闲置，要么长胖,104,488798,412,1778,1903,1091,3615,31340,486759751,卡门卡卡_,400741,2160,3840,Y
家居房产,"生活改造计划·第二期,生活改造计划",BV1vP4y1u7kL,2022-03-21 19:39:30,就地取材改造小院！剩下来的材料费真香,92,481847,138,260,909,625,80,8920,358269830,雅雅和橘子姐,118821,1920,1080,N
家居房产,"生活改造计划·第二期,改造前后，判若两屋,家居,装修,ROOMTOUR,室内设计,智能家居,小户型,园艺,收纳,半日闲床垫",BV14r4y1q7n4,2022-03-26 19:36:26,我把木匠送上法庭｜在线看冤种，来，挺急的,812,480023,3574,1343,3010,7912,1724,44442,39922227,付曦冉,1402320,1920,1080,N
家居房产,"不出门的理由找到了,Room Tour,室内设计,家居",BV1W44y1K7E3,2022-03-10 18:12:47,伪一镜到底看看我住了三年的家。好多人说我家像样板间，其实无非柜子比较多收纳做得比较好，才可以常住常新,171,479773,673,799,16786,2967,5837,14216,285553516,monokon,31070,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划,家居,装修,生活,迷惑行为,迷惑,奇葩,搞笑",BV1DL4y177TK,2022-03-27 17:00:00,日本逆天の蛋蛋房！据说是二次元的入口？这能住人？,446,477737,1495,494,1883,2493,871,22593,671011280,百万巨星麒麟君,640880,1920,1080,N
家居房产,"神器,省钱,清洁,家居好物,拼夕夕,生活改造计划,生活改造计划·第二期",BV1k34y1s7zB,2022-04-03 15:51:16,低至5毛钱！9个神器能让妈妈夸你一整年！,119,458767,427,858,59715,13776,5355,53715,9902897,是书瑶呀,849347,1080,1920,Y
家居房产,"生活改造计划·第二期,居家生活小妙招,家居,装修,室内设计,住范儿,VLOG,记录,日常,水电,软装",BV1mY4y1s7mv,2022-03-25 21:10:19,做好这几步，保你装修不翻车！| 狮子的新家 vol.6,530,455537,1163,533,5944,2018,2073,18644,454560170,住范儿,1529202,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划,家居,装修,室内设计,生活,建筑,设计师,家装,记录",BV1YL4y1M79p,2022-03-22 17:58:27,上海11平米住一家四口的爬梯房，极限改成两房两厅的美妙婚房【材哥】,677,445918,497,529,1059,661,1496,4234,317363603,空间设计-材哥,243710,1920,1080,N
家居房产,"生活改造计划,生活改造计划·第二期",BV1xS4y1m7zL,2022-04-02 17:15:44,收拾老船的第19天，测防水围护栏！卧龙凤雏共筑空中花园（还有我）！！！,196,442699,628,637,1703,4790,238,33991,1187017154,湖家郎,156241,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划,装修,设计,验房",BV1eu411q7qs,2022-03-23 19:11:58,验房还可以如此刁钻？帮百万up主验收新家，差点被开发商拉黑！,295,437950,604,743,8415,2572,2094,14456,1949251928,房子靓,303583,3840,2160,N
家居房产,"房产,家居",BV1pF411W79r,2022-03-23 08:54:29,这5款家电，全是智商税,122,426689,693,1233,2673,217,535,28219,1714737068,装修有大坑,45521,576,1024,Y
家居房产,"生活改造计划,生活改造计划·第二期",BV1sZ4y1U7He,2022-04-05 17:18:52,收拾老船第20天，提前感受空中花园的烧烤生活！,194,425957,806,842,1843,4606,638,34516,1187017154,湖家郎,156241,1080,1920,Y
家居房产,"生活改造计划·第二期,居家生活小妙招,室内设计,家装设计",BV1jq4y1Y7Wr,2022-03-25 20:29:40,窗帘怎么选？,81,423498,38,102,11500,340,591,14228,1925770102,懂装修,53279,1080,1920,Y
家居房产,"改造,设计,家装,家居,改造前后，判若两屋,生活改造计划·第二期",BV18Y4y1p7Ks,2022-03-30 21:48:07,深圳77平 | 28岁住进自己设计的家,64,422272,175,446,5071,309,625,34451,18148993,Joe的家,1275,1080,1920,Y
家居房产,"装修,改造,创意",BV1r44y1K7YF,2022-03-11 18:06:47,500块的三室一厅翻新到阳台，预算只有100了，也只能抠搜地继续改了。#改造 #老房改造 #vlog日常,138,422078,56,55,1462,129,60,1492,1684072000,林小冉的生活日记,6873,3840,2160,N
家居房产,"花园,生活记录",BV1eL411P7cY,2022-03-17 18:01:26,为了这个花园，我们又学会了一项新技能,69,420629,63,131,598,430,69,5477,358269830,雅雅和橘子姐,118821,1920,1080,N
家居房产,"家居,ROOMTOUR,生活改造计划,生活改造计划·第二期",BV1kL4y157T2,2022-04-08 22:03:47,å¤„å¥³åº§çš„å®¶ï¼Œ60ã�¡å¦‚ä½•ä½�å‡º120ã�¡ï¼Ÿç»�å¯¹æ˜¯æ”¶çº³å¤©èŠ±æ�¿ï¼�,863,420627,1917,621,24672,10637,9059,20340,1162248798,æ��å°�å†·ä¸�å†·,207519,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划,打卡挑战",BV1WP4y1T7SD,2022-03-24 19:41:37,小院修卫生间，材料全都就地解决！我们风风火火干起了小工,144,418354,166,286,1261,2885,104,17968,358269830,雅雅和橘子姐,118821,1920,1080,N
家居房产,"原创,娱乐,高能,装饰画,居家生活小妙招,生活改造计划·第二期",BV1Dr4y1H7dq,2022-04-01 16:16:53,粉丝说老公放p太多了，一面墙挂不下！,38,417103,20,263,16143,1049,562,21400,640152752,进度条-软装抠搜指南,496177,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划",BV1rY4y1p7nT,2022-03-29 17:34:18,收拾老船第18天，大哥忍痛拒绝相亲，一心只想修船！,177,413579,601,798,1547,4434,256,28835,1187017154,湖家郎,156241,1080,1920,Y
家居房产,"旅游,汽车,摄影,酒店,豪宅,4K,探店,总统套房,小艾大叔,转角遇到春天,新昌安岚",BV1wa411i7DA,2022-04-01 12:00:00,【艾住哪儿】独享山顶8W+总统套房！逃离北上广住山里骑马是什么体验？,702,408452,1443,599,2079,4785,1346,18022,470156882,小艾大叔,2422889,3840,2160,N
家居房产,"生活改造计划·第二期,居家生活小妙招,斯琴高娃,回南天,精致抠搜",BV1ZU4y1o7Qq,2022-03-11 15:22:45,花钱花多了，我真的会生气！回南天，梅雨季，不当大冤种！,35,405753,82,607,12372,3702,1265,22676,640152752,进度条-软装抠搜指南,496177,1920,1080,N
家居房产,"家居,装修,室内设计,装修避坑,家装,室内装修,装修踩雷",BV1iT4y1e7N6,2022-03-28 11:40:44,学会了吗？关注我，每天分享装修知识,51,404426,25,84,14376,474,414,9022,1407488800,装修避坑指导,51959,720,1280,Y
家居房产,"生活改造计划·第二期,生活改造计划",BV1QT4y1U7C3,2022-03-20 07:15:38,14平米的家，简单实现全屋智能家居,249,402883,385,509,5297,595,1989,18838,59540023,王一工不二,54862,1080,1920,Y
家居房产,"生活改造计划·第二期,居家生活小妙招,运动,健康,跳绳,测评,星计划",BV16r4y1i7Cp,2022-03-22 09:48:48,无线跳绳？是智商税么？,18,401273,19,258,490,33,47,7789,415214853,虎哥大长腿,18483,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划,家居,装修,ROOMTOUR,室内设计,智能家居,租房,全屋定制,家具,床垫",BV1KZ4y1679J,2022-03-16 20:44:47,到底该选硬床垫还是软床垫？看完就不纠结了,889,399302,695,910,8573,8544,1438,48108,304578055,Mr迷瞪,698450,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划,家装,施工,装修,工地巡检,装修设计",BV1rZ4y1673f,2022-03-20 21:36:07,记录一次工地巡检“翻车现场”！出问题不怕，解决问题才重要！,246,396268,172,307,1014,66,78,12660,362866586,铁锤行动,192411,720,1280,Y
家居房产,"生活改造计划·第二期,生活改造计划,打卡挑战,生活记录,农村生活",BV1dF411s7uj,2022-03-16 16:00:27,自己动手装修小院，为自己打造10年的乡村生活！,83,387851,135,226,488,1266,70,7356,358269830,雅雅和橘子姐,118821,1920,1080,N
家居房产,"生活,租房,家居,性价比好物,租房好物,生活改造计划,生活改造计划·第二期",BV1kT4y1e7rJ,2022-04-01 20:38:51,50以内！租房界人类智慧结晶（上）,192,379585,386,633,6928,1393,638,27809,486759751,卡门卡卡_,400741,2160,3840,Y
家居房产,"生活改造计划·第二期,生活改造计划,家居,装修,ROOMTOUR,土木,室内设计,旧房改造,建筑,日常,故事",BV1rS4y1S7Fh,2022-03-13 18:00:02,链接血脉の家！逆天の写意设计！从未有过如此美妙的开局！,708,379260,2038,529,2218,4220,762,21664,671011280,百万巨星麒麟君,640881,1920,1080,N
